Well_ID,BHCT_F,Depth_ft,Retarder_pct_BWOC,Slurry_Density_ppg,Thickening_Time_min
WELL_0001,227.3,12740,0.296,16.32,193.6
WELL_0002,213.7,9389,0.718,17.08,315.7
WELL_0003,252.2,13586,0.68,16.43,201.9
WELL_0004,225.6,11974,0.831,16.6,302.8
WELL_0005,150.3,5942,0.491,16.84,337.5
WELL_0006,270.8,14756,0.145,15.56,102.1
WELL_0007,250.1,12611,0.96,16.62,349.1
WELL_0008,224.2,12861,0.623,16.04,265.1
WELL_0009,137.9,6281,1.012,15.0,472.3
WELL_0010,218.4,9504,0.252,15.03,229.3
WELL_0011,180.8,8708,0.119,15.64,214.8
WELL_0012,235.0,14268,0.448,16.49,192.4
WELL_0013,231.7,11439,0.739,16.26,301.0
WELL_0014,255.3,13228,0.652,16.3,219.3
WELL_0015,170.1,9434,1.234,17.27,437.6
WELL_0016,173.7,7272,0.629,15.5,375.9
WELL_0017,225.3,10546,0.843,16.18,341.8
WELL_0018,155.0,5638,0.931,16.37,434.0
WELL_0019,259.0,13276,0.131,15.8,121.3
WELL_0020,196.8,11317,0.821,16.22,337.1
WELL_0021,244.5,12581,0.583,15.32,231.5
WELL_0022,180.6,8545,0.69,16.98,310.7
WELL_0023,257.5,14707,0.24,15.83,127.9
WELL_0024,271.8,13931,1.196,17.32,320.2
WELL_0025,267.8,12784,1.419,16.18,402.2
WELL_0026,197.6,6946,0.131,16.77,188.7
WELL_0027,224.3,9667,0.942,16.17,348.7
WELL_0028,143.7,5438,1.169,16.18,496.2
WELL_0029,166.4,6543,0.499,15.88,364.0
WELL_0030,242.6,11830,1.203,16.27,372.2
WELL_0031,239.0,12448,0.985,16.37,333.6
WELL_0032,268.1,14675,1.401,15.77,421.6
WELL_0033,197.2,8258,1.473,16.13,507.3
WELL_0034,187.1,8705,0.159,15.86,258.0
WELL_0035,187.9,9696,0.723,17.46,329.6
WELL_0036,157.2,6895,0.866,16.15,414.5
WELL_0037,168.3,6299,0.305,17.05,276.0
WELL_0038,201.9,9757,0.571,16.09,284.3
WELL_0039,175.6,7269,1.483,16.34,507.8
WELL_0040,239.1,11698,0.123,15.47,150.6
WELL_0041,190.1,9372,0.734,15.95,329.3
WELL_0042,261.9,13327,1.28,16.32,361.8
WELL_0043,237.9,12003,0.553,17.07,229.5
WELL_0044,158.4,8124,0.772,16.32,403.4
WELL_0045,274.2,13323,1.469,16.96,399.9
WELL_0046,235.6,13048,0.765,16.55,280.3
