BHCT_F,Depth_ft,Retarder_pct_BWOC,Slurry_Density_ppg,Predicted_Thickening_Time_min
100.0,10000,0.1,16.2,330.93
105.0,10000,0.1,16.2,330.93
110.0,10000,0.1,16.2,328.81
115.0,10000,0.1,16.2,327.99
120.0,10000,0.1,16.2,327.19
125.0,10000,0.1,16.2,323.8
130.0,10000,0.1,16.2,315.5
135.0,10000,0.1,16.2,305.2
140.0,10000,0.1,16.2,295.96
145.0,10000,0.1,16.2,294.81
150.0,10000,0.1,16.2,293.89
155.0,10000,0.1,16.2,283.09
160.0,10000,0.1,16.2,271.21
165.0,10000,0.1,16.2,264.4
170.0,10000,0.1,16.2,256.42
175.0,10000,0.1,16.2,254.93
180.0,10000,0.1,16.2,255.22
185.0,10000,0.1,16.2,242.61
190.0,10000,0.1,16.2,232.2
195.0,10000,0.1,16.2,218.84
200.0,10000,0.1,16.2,216.32
205.0,10000,0.1,16.2,218.92
210.0,10000,0.1,16.2,200.57
215.0,10000,0.1,16.2,200.67
220.0,10000,0.1,16.2,198.59
225.0,10000,0.1,16.2,195.84
230.0,10000,0.1,16.2,173.76
235.0,10000,0.1,16.2,159.28
240.0,10000,0.1,16.2,162.2
245.0,10000,0.1,16.2,159.08
250.0,10000,0.1,16.2,147.11
255.0,10000,0.1,16.2,142.17
260.0,10000,0.1,16.2,138.55
265.0,10000,0.1,16.2,137.71
270.0,10000,0.1,16.2,136.84
275.0,10000,0.1,16.2,137.92
280.0,10000,0.1,16.2,136.64
285.0,10000,0.1,16.2,136.56
290.0,10000,0.1,16.2,136.56
295.0,10000,0.1,16.2,136.56
300.0,10000,0.1,16.2,136.56
100.0,10000,0.15,16.2,330.93
105.0,10000,0.15,16.2,330.93
110.0,10000,0.15,16.2,328.81
115.0,10000,0.15,16.2,327.99
120.0,10000,0.15,16.2,327.19
125.0,10000,0.15,16.2,323.8
130.0,10000,0.15,16.2,315.5
135.0,10000,0.15,16.2,305.2
140.0,10000,0.15,16.2,295.96
145.0,10000,0.15,16.2,294.81
150.0,10000,0.15,16.2,293.89
155.0,10000,0.15,16.2,282.95
160.0,10000,0.15,16.2,270.85
165.0,10000,0.15,16.2,264.06
170.0,10000,0.15,16.2,256.07
175.0,10000,0.15,16.2,254.54
180.0,10000,0.15,16.2,254.81
185.0,10000,0.15,16.2,243.36
190.0,10000,0.15,16.2,233.16
195.0,10000,0.15,16.2,219.74
200.0,10000,0.15,16.2,217.16
205.0,10000,0.15,16.2,219.9
210.0,10000,0.15,16.2,201.73
215.0,10000,0.15,16.2,201.89
220.0,10000,0.15,16.2,200.07
225.0,10000,0.15,16.2,197.42
230.0,10000,0.15,16.2,177.22
235.0,10000,0.15,16.2,163.62
240.0,10000,0.15,16.2,166.91
245.0,10000,0.15,16.2,163.62
250.0,10000,0.15,16.2,149.83
255.0,10000,0.15,16.2,144.66
260.0,10000,0.15,16.2,140.99
265.0,10000,0.15,16.2,140.15
270.0,10000,0.15,16.2,139.24
275.0,10000,0.15,16.2,140.41
280.0,10000,0.15,16.2,139.13
285.0,10000,0.15,16.2,139.04
290.0,10000,0.15,16.2,139.04
295.0,10000,0.15,16.2,139.04
300.0,10000,0.15,16.2,139.04
100.0,10000,0.2,16.2,336.31
105.0,10000,0.2,16.2,336.31
110.0,10000,0.2,16.2,334.17
115.0,10000,0.2,16.2,333.35
120.0,10000,0.2,16.2,332.56
125.0,10000,0.2,16.2,326.55
130.0,10000,0.2,16.2,318.1
135.0,10000,0.2,16.2,306.57
140.0,10000,0.2,16.2,295.83
145.0,10000,0.2,16.2,295.09
150.0,10000,0.2,16.2,293.47
155.0,10000,0.2,16.2,283.62
160.0,10000,0.2,16.2,277.19
165.0,10000,0.2,16.2,270.47
170.0,10000,0.2,16.2,263.18
175.0,10000,0.2,16.2,261.74
180.0,10000,0.2,16.2,261.98
